Temperature (°C),Pressure (psi),Vibration (g),Oil Quality (%),Flight Hours,Ambient Temp (°C),Altitude (ft),Last Service Cycles,Failure Probability
640.86,289.14,0.572,63.5,3564,25.0,9045,139,0.9298
613.12,265.99,0.233,89.4,848,18.6,8850,25,0.6512
655.41,299.14,0.451,73.8,2444,26.5,5190,606,0.8998
612.71,282.81,0.152,96.2,104,35.2,9739,99,0.5634
652.47,322.64,0.312,85.0,1247,17.7,3530,282,0.793
637.54,319.2,0.722,50.4,5000,17.7,6037,253,0.973
671.36,346.2,0.182,91.8,641,35.8,2003,67,0.6891
602.15,265.32,0.146,96.4,103,27.7,12676,9,0.5302
652.85,305.98,0.432,79.0,1749,15.3,7305,583,0.8739
558.38,231.06,0.202,89.8,877,25.4,14501,207,0.604
631.76,280.85,0.175,89.8,955,15.4,10409,161,0.6555
645.48,275.28,0.414,79.4,1747,15.3,9344,432,0.8456
667.55,314.74,0.253,81.3,1944,22.4,6241,10,0.7791
628.19,308.02,0.335,85.2,1150,0.9,4861,435,0.796
639.87,290.51,0.337,83.3,1417,2.8,9569,158,0.7826
660.18,302.38,0.667,51.5,5000,14.4,7785,241,0.9682
656.77,322.91,0.669,51.5,5000,9.9,3982,419,0.9725
677.33,314.82,0.379,75.1,2457,23.1,3449,237,0.8705
646.97,302.49,0.178,94.0,352,10.9,5124,19,0.6207
625.61,267.53,0.271,88.3,892,5.9,13463,391,0.7224
602.85,256.37,0.681,56.2,4293,34.7,14640,463,0.9569
632.49,279.95,0.331,85.6,1102,17.7,8615,186,0.7571
622.31,278.24,0.604,52.8,5000,20.7,8447,173,0.9552
637.23,293.58,0.31,84.4,1340,5.8,6991,87,0.7595
677.58,333.86,0.641,59.3,3958,14.6,5197,310,0.9605
611.94,275.69,0.34,92.7,72,21.1,12126,641,0.7352
608.87,259.78,0.298,86.0,1139,8.5,13621,320,0.7337
680.8,306.74,0.486,73.3,2410,23.8,5320,443,0.9069
666.13,309.6,0.657,58.8,3984,14.0,7751,545,0.9632
655.05,304.89,0.311,80.6,1881,17.1,6650,77,0.7994
633.32,285.17,0.141,94.5,381,14.0,6739,154,0.5955
619.4,246.71,0.504,59.4,4340,38.5,11558,172,0.9226
665.47,336.52,0.284,82.3,1710,19.9,4064,246,0.8107
631.89,274.62,0.205,94.3,229,9.4,9399,15,0.6023
599.08,261.44,0.413,83.0,1247,28.2,10185,266,0.7905
641.22,311.5,0.482,73.5,2401,7.8,7574,28,0.8795
631.65,290.48,0.358,84.4,1199,22.1,10679,493,0.8061
658.08,294.98,0.772,55.8,4093,0.4,8443,989,0.9777
619.23,245.48,0.262,87.0,1102,6.7,11651,103,0.6837
660.98,314.42,0.307,81.5,1752,22.0,3433,212,0.8087
635.24,295.77,0.39,88.9,474,27.4,6954,520,0.7908
646.81,311.23,0.283,84.2,1438,21.7,7785,113,0.7668
705.18,355.03,0.193,92.6,504,18.8,0,52,0.7049
648.88,307.22,0.196,92.5,510,17.0,4742,403,0.69
666.19,320.01,0.318,89.0,657,5.2,5559,360,0.7754
625.77,270.1,0.125,96.9,90,12.8,10845,253,0.5601
670.05,294.61,0.447,88.6,357,15.4,5879,867,0.8445
649.54,315.72,0.442,83.4,1105,30.6,5546,931,0.8768
641.3,290.89,0.252,93.0,281,23.4,10452,593,0.7147
640.6,318.89,0.183,94.3,286,2.4,3146,104,0.6374
665.62,330.46,0.618,52.5,5000,23.2,1786,77,0.9642
642.22,293.22,0.297,86.2,1114,16.1,6915,542,0.7828
667.8,318.81,0.257,87.6,1034,13.2,3657,316,0.7615
647.01,322.81,0.232,91.0,623,26.1,3771,151,0.7012
639.76,281.41,0.258,84.7,1437,30.3,9720,158,0.7388
611.87,275.95,0.435,78.5,1813,29.3,10628,576,0.8566
611.09,268.47,0.217,88.0,1083,11.6,10367,53,0.6611
633.22,279.87,0.417,84.6,1001,16.9,11326,865,0.8439
576.32,244.64,0.395,75.1,2411,23.3,11723,301,0.8255
662.7,328.28,0.693,51.0,5000,29.8,1614,470,0.9756
629.26,276.04,0.636,57.7,4205,15.2,9351,139,0.9476
638.44,296.54,0.258,93.1,253,18.1,6411,265,0.6844
646.17,308.53,0.432,76.5,2113,8.9,5758,416,0.8761
644.01,284.92,0.141,97.1,14,8.0,9681,171,0.5751
650.21,324.6,0.404,77.8,2005,28.1,2809,201,0.8575
648.91,323.49,0.287,85.5,1249,33.6,2747,262,0.7789
604.25,269.81,0.14,87.7,1351,19.3,9901,20,0.6245
655.52,294.86,0.425,79.0,1774,30.0,9463,597,0.8699
628.15,287.99,0.57,69.5,2715,23.6,8410,604,0.9258
659.16,300.43,0.375,74.1,2615,13.5,5360,99,0.8572
636.39,275.9,0.314,93.1,91,23.6,10231,636,0.731
634.32,270.36,0.51,71.0,2667,35.4,10041,410,0.9004
625.37,288.8,0.603,63.0,3542,19.6,8256,198,0.9348
661.0,328.42,0.15,96.0,141,35.6,4468,128,0.6249
691.89,317.7,0.297,88.6,780,-6.2,6724,153,0.7608
646.48,277.12,0.512,67.7,3141,28.2,10514,229,0.9095
637.32,259.84,0.264,85.2,1359,20.9,11982,160,0.724
617.51,301.08,0.477,73.8,2374,17.0,7020,164,0.8762
644.43,301.92,0.366,82.9,1396,20.9,7251,68,0.7951
650.9,295.46,0.692,51.0,5000,0.1,7515,369,0.971
654.71,294.43,0.678,51.3,5000,17.8,8825,282,0.9687
671.13,313.39,0.521,84.9,660,23.6,6257,1000,0.8926
680.63,329.36,0.262,87.9,975,34.8,0,46,0.7463
629.82,275.63,0.206,87.9,1129,14.8,11578,36,0.6684
623.91,266.9,0.211,94.2,220,11.9,13384,218,0.6203
670.61,319.46,0.206,88.6,1035,15.0,6163,49,0.7096
655.14,316.97,0.376,71.5,2982,29.2,4800,283,0.885
679.39,319.26,0.526,63.1,3753,23.3,7589,65,0.9337
652.4,293.61,0.645,56.5,4345,14.7,7437,198,0.9566
610.52,256.97,0.076,98.3,29,25.1,10987,283,0.5074
628.48,277.83,0.521,67.7,3110,21.0,8164,184,0.9059
651.97,311.28,0.239,85.4,1397,29.7,5622,116,0.744
652.2,328.72,0.266,91.4,462,13.0,4045,457,0.7463
625.32,269.32,0.372,82.8,1381,16.7,10597,579,0.8157
668.53,301.68,0.553,62.8,3719,16.1,9799,98,0.934
600.27,259.87,0.367,84.6,1139,5.4,11182,504,0.7829
641.94,279.01,0.546,53.9,5000,23.0,5095,149,0.9492
641.64,275.64,0.332,79.9,1918,22.6,13515,201,0.8023
664.73,317.64,0.295,84.6,1346,20.1,2769,79,0.7746
611.13,269.74,0.301,89.1,699,17.7,10129,295,0.7129
677.88,340.22,0.103,97.8,22,5.8,2271,32,0.5896
632.78,308.01,0.36,79.5,1886,15.8,5629,269,0.8295
597.05,259.47,0.63,75.3,1723,16.6,12683,1000,0.9197
631.9,273.08,0.373,82.3,1455,12.0,10494,420,0.811
647.61,296.75,0.499,79.2,1543,18.4,6361,676,0.8878
636.71,312.83,0.458,64.8,3710,24.0,6443,187,0.9164
613.61,286.98,0.171,91.2,762,38.9,8302,46,0.6219
661.07,292.8,0.288,83.0,1598,21.7,9542,102,0.7721
622.21,268.22,0.443,75.1,2279,22.6,11755,15,0.8413
632.63,293.48,0.186,93.0,471,19.3,6631,209,0.643
650.68,322.15,0.674,51.4,5000,0.8,3165,315,0.9711
645.34,290.84,0.452,72.2,2672,19.7,8471,166,0.8812
643.55,296.44,0.222,94.8,110,20.6,6628,248,0.6525
670.99,325.67,0.543,61.0,4007,44.6,4098,116,0.9425
605.76,290.86,0.649,51.9,5000,18.1,8893,27,0.9576
656.13,284.2,0.477,68.3,3157,23.0,7361,170,0.9024
658.83,293.05,0.368,84.8,1111,19.7,8920,238,0.7958
660.91,319.75,0.972,50.0,5000,8.3,5317,1000,0.9904
646.76,279.77,0.213,93.9,266,31.4,9460,128,0.6341
684.53,310.99,0.398,81.2,1538,27.5,4049,340,0.8495
651.86,314.59,0.403,89.3,374,27.9,5517,519,0.8061
636.15,293.8,0.259,86.7,1157,10.9,7271,123,0.7246
598.9,239.35,0.797,50.0,5000,34.0,13225,797,0.9766
603.58,275.08,0.478,68.2,3162,6.0,10354,124,0.8882
610.44,276.78,0.737,63.8,3047,25.9,11232,1000,0.9616
620.73,256.25,0.172,90.4,873,41.9,12251,1,0.6066
589.63,229.59,0.725,50.3,5000,10.1,15000,302,0.9627
664.51,289.55,0.268,88.2,919,14.3,8125,468,0.7572
621.15,265.08,0.145,96.5,82,21.0,12261,99,0.5478
657.02,279.33,0.444,76.8,2031,15.0,11038,37,0.8469
603.16,286.36,0.235,89.0,901,4.5,10988,7,0.6632
592.01,247.86,0.18,94.1,334,20.7,13323,23,0.5546
644.0,300.05,0.616,52.5,5000,9.4,6742,235,0.9621
665.64,304.45,0.392,77.9,2028,24.7,6504,548,0.8713
625.27,284.5,0.573,53.4,5000,10.8,8959,20,0.9489
643.83,280.62,0.342,80.9,1749,35.5,7452,36,0.7881
650.71,285.21,0.174,95.6,132,12.2,8956,2,0.5888
646.02,277.36,0.2,95.6,61,16.8,12688,100,0.6053
673.3,296.09,0.89,50.0,4616,28.1,6566,762,0.9851
616.76,296.91,0.191,95.6,79,7.7,7086,97,0.6006
653.84,319.34,0.316,80.3,1910,22.3,8523,174,0.8169
683.86,306.11,0.167,91.7,708,33.1,7315,59,0.6624
650.8,327.01,0.336,76.9,2327,3.9,2258,37,0.836
631.05,294.62,0.08,93.7,670,21.8,6260,60,0.5695
622.89,273.31,0.064,98.2,76,22.6,10062,71,0.4948
627.34,246.48,0.382,73.9,2625,27.8,12313,42,0.8264
636.95,312.21,0.287,89.0,745,7.6,4536,470,0.7596
645.42,329.09,0.333,82.1,1601,6.8,4522,195,0.8133
636.18,300.81,0.463,69.8,2973,25.2,8091,233,0.8976
690.59,332.6,0.431,74.3,2427,23.0,1773,141,0.8882
656.97,308.77,0.269,88.6,857,22.5,6665,71,0.7245
636.96,336.21,0.38,73.0,2755,23.5,2792,30,0.8673
620.53,270.25,0.554,53.8,5000,13.2,12107,24,0.9436
651.72,313.28,0.337,80.0,1883,22.3,5692,61,0.8129
615.77,251.06,0.593,71.0,2431,22.9,12959,569,0.9127
624.28,275.92,0.489,62.0,4018,12.9,11341,73,0.9156
653.25,302.58,0.487,64.2,3711,38.7,6061,131,0.9208
656.25,315.0,0.218,89.5,866,24.7,4784,255,0.7182
631.51,305.1,0.621,52.4,5000,8.1,7419,215,0.9619
656.65,309.0,0.116,97.3,58,26.6,7686,329,0.6042
617.89,281.6,0.624,52.3,5000,10.3,9038,65,0.9554
657.36,313.07,0.286,90.3,565,27.9,5670,223,0.7339
653.61,273.61,0.416,83.5,1161,31.6,10239,438,0.8236
607.36,268.54,0.547,58.8,4303,11.8,8796,147,0.9318
655.18,313.81,0.486,86.3,560,29.6,6979,1000,0.8765
653.47,313.24,0.165,93.1,509,24.1,5864,259,0.661
624.71,288.67,0.424,77.0,2061,28.2,7445,337,0.8551
673.24,314.73,0.256,77.7,2445,39.0,5549,184,0.8207
650.8,302.86,0.294,94.0,15,17.5,8175,585,0.7322
645.83,284.78,0.26,86.4,1197,12.5,8256,180,0.7321
599.88,288.61,0.45,81.5,1343,11.1,8785,856,0.8629
624.31,258.95,0.281,89.9,634,11.8,13299,110,0.6759
633.57,284.95,0.412,80.7,1580,19.2,7603,603,0.85
624.64,266.83,0.217,93.3,336,23.4,11014,306,0.6431
635.03,291.16,0.254,89.4,782,22.8,8689,481,0.7331
634.73,300.39,0.327,75.9,2498,28.3,7285,12,0.822
646.94,296.83,0.519,60.5,4140,20.1,7643,97,0.9325
643.93,307.23,0.488,77.7,1780,34.5,7824,563,0.8886
643.1,299.75,0.241,94.1,156,17.4,8839,115,0.6549
666.19,317.22,0.49,74.2,2271,47.2,5122,374,0.9013
656.57,315.09,0.933,50.0,4558,26.3,3604,1000,0.9882
623.49,286.21,0.33,83.5,1404,11.4,9963,59,0.7616
627.15,263.95,0.27,85.0,1361,9.3,10694,162,0.7261
606.31,269.39,0.688,51.1,5000,24.8,10237,54,0.9599
614.29,285.36,0.316,79.4,2023,17.8,8465,50,0.7839
597.26,270.84,0.457,67.8,3280,27.1,10302,301,0.8923
597.9,282.51,0.313,79.1,2080,24.7,10140,64,0.7794
626.89,282.23,0.183,92.8,499,19.3,10363,198,0.6319
636.73,300.05,0.514,85.0,668,11.5,5421,1000,0.88
621.63,322.51,0.336,77.9,2191,4.9,4709,122,0.8258
645.47,302.07,0.433,82.8,1218,15.5,6834,621,0.8541
639.85,278.49,0.268,87.4,1036,28.6,7948,151,0.7174
652.51,321.15,0.133,97.0,45,22.1,7274,91,0.5926
665.38,331.55,0.574,58.2,4315,7.5,2370,123,0.952
613.07,252.59,0.544,58.8,4317,21.7,13165,41,0.9255
629.64,292.41,0.267,86.0,1236,23.9,7178,341,0.7518
626.46,282.46,0.382,75.4,2413,11.2,8518,213,0.8442
627.39,270.3,0.264,92.0,392,21.5,11734,285,0.6777
669.84,333.71,0.215,85.8,1402,20.6,965,108,0.7503
647.67,303.24,0.324,85.4,1156,8.6,6465,318,0.7856
639.29,290.85,0.346,78.0,2138,23.6,6839,54,0.8139
663.44,313.1,0.267,85.7,1268,25.6,6991,317,0.7747
622.34,299.21,0.298,84.3,1380,30.8,7480,25,0.7478
613.77,256.39,0.25,90.1,701,30.5,12341,153,0.6599
614.6,257.76,0.152,96.3,99,6.2,10020,282,0.568
617.19,262.93,0.732,50.4,4978,10.6,10874,580,0.9723
653.12,283.75,0.267,94.5,25,25.2,8141,502,0.698
643.89,317.08,0.132,92.7,661,25.1,3802,225,0.6453
684.18,352.86,0.387,83.9,1187,25.2,1761,645,0.8666
699.6,328.86,0.226,90.1,769,50.0,3412,212,0.7376
645.93,284.78,0.32,82.3,1606,25.7,9079,218,0.7889
631.77,296.99,0.385,83.6,1238,31.4,8095,382,0.8143
647.14,308.07,0.335,89.2,590,29.5,7370,631,0.7903
641.14,308.55,0.226,94.2,184,26.5,6894,277,0.6702
595.67,259.99,0.386,90.2,296,16.8,14035,866,0.7772
636.82,310.85,0.248,85.7,1332,27.6,5531,79,0.7352
625.33,281.81,0.699,59.7,3741,12.3,10783,774,0.963
603.3,266.07,0.098,96.6,212,17.6,8006,75,0.5139
661.79,304.06,0.36,76.9,2261,15.1,7817,224,0.8482
617.18,267.11,0.562,66.7,3141,20.8,11530,477,0.9229
610.84,256.66,0.31,89.2,648,43.1,12388,485,0.7263
650.5,302.78,0.371,77.1,2207,1.3,7281,98,0.8384
631.41,283.1,0.568,72.3,2321,26.9,10398,1000,0.9301
658.12,311.17,0.395,74.8,2461,3.9,9092,25,0.8576
637.62,295.9,0.52,58.5,4429,15.3,8022,11,0.9342
622.38,285.21,0.491,83.0,1017,30.9,8613,553,0.8503
638.09,307.96,0.291,90.3,559,20.6,5936,513,0.7532
611.86,305.84,0.393,81.1,1570,9.2,7082,374,0.8298
636.05,282.26,0.268,93.7,129,12.8,6258,571,0.7044
